bitlen,count,sage,ours
32,50,0.02547449804842472,0.0009217960759997368
33,50,0.023808928206562996,0.0008606328628957272
34,50,0.024920263793319464,0.0009368248283863068
35,50,0.02364750811830163,0.0010178973898291588
36,50,0.022431483957916498,0.0008251466788351536
37,50,0.024607468396425247,0.0008277702145278454
38,50,0.024762697517871857,0.0008230675011873245
39,50,0.022962409537285566,0.0008295509032905102
40,50,0.024295876268297434,0.0009427261538803577
41,50,0.023756199050694704,0.0008082627318799496
42,50,0.023010057397186756,0.0008198367431759834
43,50,0.023363193031400442,0.000871940515935421
44,50,0.023971203714609146,0.000829366035759449
